dataset,input_dim,replicate,width,model_index,reserve_neurons,support_before,support_after,cluster_size,cluster_diameter,objective_before,objective_after,objective_increase,positive_increase,lemma_upper_increment,bound_respected
ridge_teacher,1,2,64,7,4,15,15,0,0.0,0.11745108830729205,0.11745108830729205,0.0,0.0,0.07180188794431176,True
ridge_teacher,1,2,128,0,4,25,25,0,0.0,0.11745109021947661,0.11745109021947661,0.0,0.0,0.03590672150558757,True
ridge_teacher,1,2,128,1,4,26,26,0,0.0,0.11745108776563848,0.11745108776563848,0.0,0.0,0.0358970611064995,True
ridge_teacher,1,2,128,2,4,24,24,0,0.0,0.1174510877048648,0.1174510877048648,0.0,0.0,0.03589674447686146,True
ridge_teacher,1,2,128,3,4,23,23,0,0.0,0.11745108823571832,0.11745108823571832,0.0,0.0,0.03590052759428449,True
ridge_teacher,1,2,128,4,4,27,27,0,0.0,0.11745108782415498,0.11745108782415498,0.0,0.0,0.03589701695564212,True
ridge_teacher,1,2,128,5,4,26,26,0,0.0,0.117451087681791,0.117451087681791,0.0,0.0,0.035897041333284134,True
ridge_teacher,1,2,128,6,4,24,24,0,0.0,0.11745108812585779,0.11745108812585779,0.0,0.0,0.03589571700120674,True
ridge_teacher,1,2,128,7,4,27,27,0,0.0,0.11745108951193943,0.11745108951193943,0.0,0.0,0.03589984536456426,True
ridge_teacher,1,3,8,0,4,8,1,8,2.0,0.11745108843314071,0.1684148118933111,0.050963723460170376,0.050963723460170376,0.5744405654314049,True
ridge_teacher,1,3,8,1,4,6,4,3,0.0,0.11745108770849286,0.11745108770849286,0.0,0.0,0.5743494284225914,True
ridge_teacher,1,3,8,2,4,6,4,3,0.0,0.11745108811364974,0.11745108811364974,0.0,0.0,0.5743414967597913,True
ridge_teacher,1,3,8,3,4,5,3,3,0.0,0.11745108855274204,0.11745108855274204,0.0,0.0,0.5743423450070629,True
ridge_teacher,1,3,8,4,4,7,1,7,2.0,0.11745108781797307,0.15133518067096188,0.03388409285298881,0.03388409285298881,0.5743973543934415,True
ridge_teacher,1,3,8,5,4,5,3,3,0.0,0.11745108829837397,0.11745108829837397,0.0,0.0,0.5744044102684742,True
ridge_teacher,1,3,8,6,4,6,2,5,0.0,0.11745108814845576,0.11745108814845576,0.0,0.0,0.5743259501498931,True
ridge_teacher,1,3,8,7,4,6,3,4,0.0,0.1174510877446664,0.1174510877446664,0.0,0.0,0.5743382221948367,True
ridge_teacher,1,3,16,0,4,10,10,0,0.0,0.11745108771077911,0.11745108771077911,0.0,0.0,0.28718481606516755,True
ridge_teacher,1,3,16,1,4,9,9,0,0.0,0.11745108881441925,0.11745108881441925,0.0,0.0,0.2871360032903516,True
ridge_teacher,1,3,16,2,4,9,9,0,0.0,0.11745108783656635,0.11745108783656635,0.0,0.0,0.28718202070484045,True
ridge_teacher,1,3,16,3,4,7,7,0,0.0,0.11745108768801085,0.11745108768801085,0.0,0.0,0.28718013142682625,True
ridge_teacher,1,3,16,4,4,10,10,0,0.0,0.11745108779615708,0.11745108779615708,0.0,0.0,0.2871711243076638,True
ridge_teacher,1,3,16,5,4,7,7,0,0.0,0.11745108767054806,0.11745108767054806,0.0,0.0,0.28718489042450634,True
ridge_teacher,1,3,16,6,4,8,8,0,0.0,0.11745108817803854,0.11745108817803854,0.0,0.0,0.28721531854132837,True
ridge_teacher,1,3,16,7,4,11,11,0,0.0,0.11745108767064555,0.11745108767064555,0.0,0.0,0.2871800061175702,True
ridge_teacher,1,3,32,0,4,12,12,0,0.0,0.11745108930177985,0.11745108930177985,0.0,0.0,0.14357982684557447,True
ridge_teacher,1,3,32,1,4,13,13,0,0.0,0.11745109011370394,0.11745109011370394,0.0,0.0,0.1436213217663912,True
ridge_teacher,1,3,32,2,4,11,11,0,0.0,0.11745108766488523,0.11745108766488523,0.0,0.0,0.1435910950394449,True
ridge_teacher,1,3,32,3,4,11,11,0,0.0,0.11745108803047437,0.11745108803047437,0.0,0.0,0.14360193601137372,True
ridge_teacher,1,3,32,4,4,12,12,0,0.0,0.11745108793640026,0.11745108793640026,0.0,0.0,0.14358001567009904,True
ridge_teacher,1,3,32,5,4,13,13,0,0.0,0.1174510881459224,0.1174510881459224,0.0,0.0,0.14358281877619064,True
ridge_teacher,1,3,32,6,4,11,11,0,0.0,0.11745108891744917,0.11745108891744917,0.0,0.0,0.14356626452840107,True
ridge_teacher,1,3,32,7,4,13,13,0,0.0,0.11745108767865489,0.11745108767865489,0.0,0.0,0.14359101999159377,True
ridge_teacher,1,3,64,0,4,16,16,0,0.0,0.11745108913308794,0.11745108913308794,0.0,0.0,0.07178993571337605,True
ridge_teacher,1,3,64,1,4,15,15,0,0.0,0.117451087918932,0.117451087918932,0.0,0.0,0.07179085926669103,True
ridge_teacher,1,3,64,2,4,18,18,0,0.0,0.11745108766499728,0.11745108766499728,0.0,0.0,0.07179540207147883,True
ridge_teacher,1,3,64,3,4,18,18,0,0.0,0.11745108812733246,0.11745108812733246,0.0,0.0,0.071792092392392,True
